,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
54,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-09-28,1979,9,28,40.0,1.0,40.0,Fall
55,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-09-30,1979,9,30,10.0,1.0,10.0,Fall
56,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-01,1979,10,1,80.0,4.0,20.0,Fall
57,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-03,1979,10,3,20.0,1.0,20.0,Fall
58,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-03,1979,10,3,10.0,1.0,10.0,Fall
59,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-05,1979,10,5,50.0,2.0,25.0,Fall
60,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-05,1979,10,5,10.0,1.0,10.0,Fall
61,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-09,1979,10,9,30.0,2.0,15.0,Fall
62,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-09,1979,10,9,10.0,1.0,10.0,Fall
63,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-09,1979,10,9,20.0,2.0,10.0,Fall
64,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-09,1979,10,9,20.0,2.0,10.0,Fall
65,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-10,1979,10,10,20.0,2.0,10.0,Fall
66,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-10,1979,10,10,40.0,4.0,10.0,Fall
67,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-10,1979,10,10,50.0,5.0,10.0,Fall
68,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-12,1979,10,12,20.0,2.0,10.0,Fall
69,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-13,1979,10,13,10.0,1.0,10.0,Fall
70,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-23,1979,10,23,70.0,4.0,17.5,Fall
71,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-10-28,1979,10,28,10.0,1.0,10.0,Fall
72,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-02,1979,11,2,10.0,1.0,10.0,Fall
73,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-02,1979,11,2,70.0,2.0,35.0,Fall
74,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-03,1979,11,3,20.0,2.0,10.0,Fall
75,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-03,1979,11,3,20.0,1.0,20.0,Fall
76,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-03,1979,11,3,10.0,1.0,10.0,Fall
77,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-10,1979,11,10,40.0,4.0,10.0,Fall
78,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-10,1979,11,10,10.0,1.0,10.0,Fall
79,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-10,1979,11,10,10.0,1.0,10.0,Fall
80,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-11,1979,11,11,10.0,1.0,10.0,Fall
81,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-11,1979,11,11,10.0,1.0,10.0,Fall
82,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-11,1979,11,11,10.0,1.0,10.0,Fall
83,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-11,1979,11,11,10.0,1.0,10.0,Fall
84,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-13,1979,11,13,10.0,1.0,10.0,Fall
85,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-16,1979,11,16,10.0,1.0,10.0,Fall
86,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-26,1979,11,26,30.0,2.0,15.0,Fall
87,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-11-26,1979,11,26,20.0,2.0,10.0,Fall
88,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-06,1979,12,6,20.0,2.0,10.0,Winter
89,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-13,1979,12,13,10.0,1.0,10.0,Winter
90,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-13,1979,12,13,10.0,1.0,10.0,Winter
91,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-13,1979,12,13,20.0,2.0,10.0,Winter
92,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-13,1979,12,13,10.0,1.0,10.0,Winter
93,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-16,1979,12,16,10.0,1.0,10.0,Winter
94,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-24,1979,12,24,10.0,1.0,10.0,Winter
95,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-25,1979,12,25,10.0,1.0,10.0,Winter
96,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-12-25,1979,12,25,50.0,3.0,16.666666666666668,Winter
97,MD,Northeast,ABERDEEN PHILLIPS FLD,1980-01-04,1980,1,4,10.0,1.0,10.0,Winter
98,MD,Northeast,ABERDEEN PHILLIPS FLD,1980-01-07,1980,1,7,10.0,1.0,10.0,Winter
