,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
52,CT,Northeast,NORFOLK 2 SW,1948-06-24,1948,6,24,119.0,2.0,59.5,Summer
53,CT,Northeast,NORFOLK 2 SW,1948-06-24,1948,6,24,2.0,2.0,1.0,Summer
54,CT,Northeast,NORFOLK 2 SW,1948-06-25,1948,6,25,2.0,2.0,1.0,Summer
55,CT,Northeast,NORFOLK 2 SW,1948-06-27,1948,6,27,7.0,2.0,3.5,Summer
56,CT,Northeast,NORFOLK 2 SW,1948-06-28,1948,6,28,36.0,4.0,9.0,Summer
57,CT,Northeast,NORFOLK 2 SW,1948-06-29,1948,6,29,32.0,2.0,16.0,Summer
58,CT,Northeast,NORFOLK 2 SW,1948-06-30,1948,6,30,8.0,4.0,2.0,Summer
59,CT,Northeast,NORFOLK 2 SW,1948-07-01,1948,7,1,2.0,1.0,2.0,Summer
60,CT,Northeast,NORFOLK 2 SW,1948-07-01,1948,7,1,1.0,1.0,1.0,Summer
61,CT,Northeast,NORFOLK 2 SW,1948-07-05,1948,7,5,33.0,4.0,8.25,Summer
62,CT,Northeast,NORFOLK 2 SW,1948-07-06,1948,7,6,2.0,2.0,1.0,Summer
63,CT,Northeast,NORFOLK 2 SW,1948-07-06,1948,7,6,26.0,3.0,8.666666666666666,Summer
64,CT,Northeast,NORFOLK 2 SW,1948-07-06,1948,7,6,15.0,2.0,7.5,Summer
65,CT,Northeast,NORFOLK 2 SW,1948-07-07,1948,7,7,1.0,1.0,1.0,Summer
66,CT,Northeast,NORFOLK 2 SW,1948-07-07,1948,7,7,4.0,3.0,1.3333333333333333,Summer
67,CT,Northeast,NORFOLK 2 SW,1948-07-13,1948,7,13,10.0,3.0,3.3333333333333335,Summer
68,CT,Northeast,NORFOLK 2 SW,1948-07-13,1948,7,13,1.0,1.0,1.0,Summer
69,CT,Northeast,NORFOLK 2 SW,1948-07-13,1948,7,13,59.0,7.0,8.428571428571429,Summer
70,CT,Northeast,NORFOLK 2 SW,1948-07-14,1948,7,14,2.0,2.0,1.0,Summer
71,CT,Northeast,NORFOLK 2 SW,1948-07-18,1948,7,18,9.0,2.0,4.5,Summer
72,CT,Northeast,NORFOLK 2 SW,1948-07-21,1948,7,21,74.0,3.0,24.666666666666668,Summer
73,CT,Northeast,NORFOLK 2 SW,1948-07-21,1948,7,21,1.0,1.0,1.0,Summer
74,CT,Northeast,NORFOLK 2 SW,1948-07-23,1948,7,23,11.0,2.0,5.5,Summer
75,CT,Northeast,NORFOLK 2 SW,1948-07-26,1948,7,26,31.0,3.0,10.333333333333334,Summer
76,CT,Northeast,NORFOLK 2 SW,1948-07-27,1948,7,27,1.0,1.0,1.0,Summer
77,CT,Northeast,NORFOLK 2 SW,1948-07-27,1948,7,27,8.0,1.0,8.0,Summer
78,CT,Northeast,NORFOLK 2 SW,1948-08-05,1948,8,5,25.0,4.0,6.25,Summer
79,CT,Northeast,NORFOLK 2 SW,1948-08-06,1948,8,6,1.0,1.0,1.0,Summer
80,CT,Northeast,NORFOLK 2 SW,1948-08-06,1948,8,6,29.0,4.0,7.25,Summer
